Reading,Hour,Barometric,Capacitive,Piezoelectric,Resonant,AvgPressure,ActualPressure,PressureTrend,Humidity,WindSpeed,AnimalActivity,Status
1,0,1010.24,1033.70,1017.89,1028.64,1022.62,1013.07,0.00,49.84,10.01,0,Normal
2,1,1024.58,1033.77,1017.82,1028.46,1026.16,1013.76,3.54,47.90,7.26,0,Normal
3,2,1024.83,1035.81,1022.29,1030.75,1028.42,1014.86,5.80,46.36,8.33,0,Normal
4,3,1025.79,1036.38,1020.56,1031.65,1028.59,1005.67,5.98,47.24,12.93,0,Normal
5,4,1028.14,1036.59,1021.59,1032.20,1029.63,1016.67,7.01,50.02,19.61,0,Normal
6,5,1028.73,1037.55,1021.99,1032.74,1030.25,1017.71,7.63,61.23,14.67,0,High Pressure System
7,6,1027.91,1040.48,1024.32,1033.46,1031.54,1018.18,8.93,59.47,26.52,0,High Pressure System
8,7,1029.17,1039.06,1022.92,1033.22,1031.09,1018.55,8.48,56.86,23.10,0,High Pressure System
9,8,1028.73,1039.51,1023.70,1034.83,1031.69,1018.72,9.07,57.76,26.71,0,High Pressure System
10,9,1025.54,1039.52,1024.01,1033.87,1030.73,1018.76,8.12,68.81,7.69,0,High Pressure System
11,10,1029.59,1039.17,1025.15,1034.04,1031.98,1019.18,9.37,67.78,13.90,0,High Pressure System
12,11,1029.35,1039.94,1023.66,1033.97,1031.73,1018.66,9.11,68.70,13.19,0,High Pressure System
13,12,1028.26,1038.79,1023.04,1033.74,1030.96,1018.46,8.34,70.03,14.30,0,High Pressure System
14,13,1029.67,1039.37,1022.49,1034.26,1031.45,1018.90,8.83,66.70,2.07,0,High Pressure System
15,14,1028.20,1039.52,1024.15,1033.12,1031.25,1018.40,8.63,62.21,0.00,0,High Pressure System
16,15,1028.67,1038.44,1023.97,1034.23,1031.33,1019.01,8.71,63.64,0.00,0,High Pressure System
17,16,1028.61,1039.13,1024.92,1034.72,1031.85,1018.69,9.23,62.16,5.68,0,High Pressure System
18,17,1029.35,1039.56,1024.55,1034.56,1032.01,1019.01,9.39,62.83,15.39,0,High Pressure System
19,18,1030.79,1039.58,1025.02,1033.85,1032.31,1019.33,9.69,54.53,19.25,0,High Pressure System
20,19,1029.78,1040.40,1025.25,1035.05,1032.62,1019.95,10.00,58.47,0.88,0,High Pressure System
21,20,1031.60,1041.00,1025.45,1035.20,1033.31,1020.24,10.70,54.12,0.58,0,High Pressure System
22,21,1030.16,1040.29,1024.25,1036.19,1032.72,1020.75,10.11,43.20,5.94,0,High Pressure System
23,22,1031.53,1041.86,1025.80,1037.05,1034.06,1021.35,11.44,45.64,17.46,0,High Pressure System
24,23,1031.23,1042.06,1028.34,1038.13,1034.94,1021.36,12.32,50.43,14.19,0,High Pressure System
25,0,1034.45,1039.04,1027.95,1037.62,1034.76,1022.65,0.00,36.98,21.17,0,High Pressure System
26,1,1032.69,1044.01,1029.18,1038.70,1036.14,1023.51,1.38,46.43,10.42,0,High Pressure System
27,2,1033.51,1044.20,1029.04,1039.08,1036.46,1023.46,1.69,46.99,12.42,0,High Pressure System
28,3,1035.22,1044.56,1030.82,1039.08,1037.42,1024.02,2.65,38.81,25.64,0,High Pressure System
29,4,1034.30,1045.61,1029.92,1040.13,1037.49,1024.49,2.73,39.48,25.16,0,High Pressure System
30,5,1035.18,1045.49,1030.52,1039.97,1037.79,1024.97,3.03,50.82,28.33,0,High Pressure System
31,6,1035.60,1046.40,1031.17,1039.94,1038.28,1025.53,3.51,49.07,10.38,0,High Pressure System
32,7,1036.00,1045.30,1030.00,1040.24,1037.88,1025.28,3.12,46.62,20.05,0,High Pressure System
33,8,1034.88,1045.33,1030.39,1040.13,1037.68,1024.55,2.92,61.20,20.20,0,High Pressure System
34,9,1035.21,1044.62,1028.97,1039.24,1037.01,1023.94,2.24,61.11,28.45,0,High Pressure System
35,10,1033.75,1044.92,1030.43,1038.78,1036.97,1023.54,2.20,54.08,7.83,0,High Pressure System
36,11,1033.45,1048.00,1028.25,1037.99,1036.92,1022.96,2.16,60.43,6.79,0,High Pressure System
37,12,1032.42,1043.84,1028.00,1037.84,1035.53,1022.14,0.76,55.01,21.01,0,High Pressure System
38,13,1032.82,1041.06,1026.74,1037.64,1034.56,1022.10,-0.20,68.33,1.91,0,High Pressure System
39,14,1030.40,1041.25,1025.83,1036.17,1033.41,1021.68,-1.35,57.13,7.00,0,High Pressure System
40,15,1030.02,1041.55,1026.20,1035.74,1033.38,1020.44,-1.39,54.25,5.15,0,High Pressure System
41,16,1030.77,1040.91,1024.99,1035.75,1033.10,1008.68,-1.66,66.14,9.06,0,High Pressure System
42,17,1030.80,1039.48,1024.19,1035.25,1032.43,1019.71,-2.34,62.21,17.22,0,High Pressure System
43,18,1028.20,1039.38,1023.91,1034.12,1031.40,1018.78,-3.36,55.31,5.05,0,High Pressure System
44,19,1028.31,1039.82,1024.39,1034.18,1031.67,1019.29,-3.09,58.29,0.00,0,High Pressure System
45,20,1028.87,1038.27,1023.18,1034.86,1031.29,1018.99,-3.47,45.99,0.00,0,High Pressure System
46,21,1028.39,1039.44,1023.14,1033.47,1031.11,1018.99,-3.65,56.61,5.35,0,High Pressure System
47,22,1028.51,1039.15,1024.53,1034.50,1031.67,1018.83,-3.09,46.23,10.60,0,High Pressure System
48,23,1028.43,1039.59,1023.57,1033.76,1031.34,1018.64,-3.43,42.30,2.06,0,High Pressure System
49,0,1030.20,1039.96,1024.34,1034.76,1032.32,1019.28,0.00,50.32,12.54,0,High Pressure System
50,1,1029.19,1040.59,1023.92,1033.86,1031.89,1019.40,-0.43,48.24,8.46,0,High Pressure System
51,2,1029.40,1038.56,1023.70,1033.17,1031.21,1018.65,-1.11,43.43,23.89,0,High Pressure System
52,3,1028.41,1038.82,1025.02,1034.21,1031.61,1018.56,-0.70,45.67,20.02,0,High Pressure System
53,4,1029.03,1039.45,1022.51,1034.15,1031.29,1019.30,-1.03,52.39,6.40,0,High Pressure System
54,5,1028.61,1039.41,1024.61,1033.99,1031.65,1018.68,-0.66,58.81,25.72,0,High Pressure System
55,6,1028.75,1038.86,1023.85,1033.09,1031.14,1018.46,-1.18,56.57,26.58,0,High Pressure System
56,7,1028.84,1037.98,1021.39,1033.33,1030.39,1017.71,-1.93,61.04,29.15,0,High Pressure System
57,8,1026.39,1037.61,1022.03,1032.40,1029.61,1016.92,-2.71,55.57,15.77,0,Normal
58,9,1025.48,1036.88,1019.58,1031.07,1028.25,1016.13,-4.07,68.60,21.60,0,Normal
59,10,1026.03,1037.12,1020.39,1031.05,1028.65,1015.06,-3.67,68.33,18.19,0,Normal
60,11,1024.53,1034.87,1020.53,1028.90,1027.21,1013.79,-5.11,68.44,2.19,1,Possible Animal Activity
61,12,1022.59,1034.24,1018.77,1027.90,1025.88,1013.46,-6.44,69.89,22.47,1,Possible Animal Activity
62,13,1021.71,1031.88,1017.80,1027.73,1024.78,1011.64,-7.54,66.64,15.70,1,Rapid Pressure Drop
63,14,1022.41,1031.56,1015.80,1025.78,1023.89,1011.15,-8.43,72.20,21.70,1,Rapid Pressure Drop
64,15,1021.08,1030.49,1016.44,1025.43,1023.36,1010.39,-8.96,76.20,0.00,1,Rapid Pressure Drop
65,16,1019.37,1029.90,1014.53,1022.77,1021.64,1009.54,-10.68,69.97,0.00,1,Rapid Pressure Drop
66,17,1018.91,1028.76,1013.74,1023.72,1021.28,1008.84,-11.03,61.58,0.00,1,Rapid Pressure Drop
67,18,1019.29,1027.22,1013.02,1023.01,1020.63,1008.32,-11.68,66.95,2.82,1,Rapid Pressure Drop
68,19,1017.05,1027.96,1013.21,1022.13,1020.09,1007.36,-12.23,61.29,3.59,1,Rapid Pressure Drop
69,20,1017.31,1026.58,1011.16,1022.43,1019.37,1007.00,-12.95,55.93,7.60,1,Rapid Pressure Drop
70,21,1017.27,1027.11,1013.42,1021.37,1019.79,1007.59,-12.53,53.25,11.46,1,Rapid Pressure Drop
71,22,1016.64,1026.75,1012.42,1021.77,1019.39,1006.91,-12.92,52.66,15.34,1,Rapid Pressure Drop
72,23,1017.95,1031.75,1012.94,1022.72,1021.34,1007.31,-10.98,49.22,7.84,1,Rapid Pressure Drop
73,0,1016.66,1027.31,1012.30,1022.21,1019.62,1007.41,0.00,56.78,2.59,0,Normal
74,1,1018.22,1027.13,1012.99,1009.61,1016.99,1007.24,-2.63,60.23,8.48,0,Normal
75,2,1017.23,1026.85,1012.02,1022.66,1019.69,1006.95,0.07,62.83,5.55,0,Normal
76,3,1018.49,1027.65,1013.28,1022.14,1020.39,1007.71,0.77,59.05,27.73,0,Normal
77,4,1017.95,1026.83,1012.08,1021.92,1019.69,1007.02,0.07,67.19,6.16,0,Normal
78,5,1016.17,1027.92,1012.49,1022.56,1019.79,1007.04,0.16,65.02,8.20,0,Normal
